[2017-09-09T14:04:26-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-09T14:04:40-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-09T14:46:07-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-09T18:32:00-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-09T18:32:00-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-14T22:17:37-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-14T22:17:37-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-14T22:17:53-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-14T22:17:53-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
