[2017-09-16T10:42:36-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T10:42:36-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T14:49:12-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T14:49:12-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T14:52:04-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T14:52:04-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T15:01:58-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T15:01:58-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T19:41:33-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T19:41:33-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T20:59:22-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T20:59:22-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T22:07:02-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T22:07:02-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T22:11:38-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T22:11:38-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T22:12:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T22:12:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T22:17:26-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T22:17:26-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T23:17:15-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-16T23:17:15-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-17T01:39:10-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T01:39:10-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T09:59:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-17T09:59:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-17T11:19:57-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T11:19:57-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T11:20:29-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-17T11:20:29-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-17T13:32:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T13:32:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T23:52:05-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-17T23:52:05-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-18T01:41:37-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-18T01:41:37-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-19T12:07:51-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-19T12:07:51-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-19T12:31:01-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-19T12:31:01-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-19T17:32:24-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-19T17:32:24-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-19T18:34:04-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-19T18:34:04-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-19T19:59:49-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-19T19:59:49-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region9; SC_MAP_LOADED; game type DWARF_MAIN (0)
