[2017-09-14T23:12:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-14T23:13:45-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-14T23:30:08-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-15T03:49:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-15T03:49:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-15T14:58:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-15T14:58:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-15T18:16:42-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-15T18:16:42-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-15T18:38:01-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-15T18:38:01-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-16T00:13:11-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-16T00:13:11-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region8; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
